"F.E. Spencer, Jr., A.V. Phelps, “Momentum Transfer Cross-Sections and Conductivity Integrals for Gases of MHD Interest”, 1976, SEAM 15",,,,,,,,,,,,,,,,,,,,,,,,
Energy,Energy,Temperature,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section,Cross Section
Energy,Energy,Temperature,Ar,CO,CO2,H,H2,H2O,K,KOH,O,OH,O2,Ar,CO,CO2,H,H2,H2O,K,KOH,O,OH,O2
[ev],[J],[K],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[10^20 m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2],[m^2]
8,1.28E-18,72848.5253,11.7,11.2,10.8,6.1,10.3,0,,22.5,6.75,,7.1,1.17E-19,1.12E-19,1.08E-19,6.10E-20,1.03E-19,0,0,2.25E-19,6.75E-20,0,7.10E-20
10,1.60E-18,91060.65663,15,11,12,,9,0,,18,7.2,,8,1.50E-19,1.10E-19,1.20E-19,0,9.00E-20,0,0,1.80E-19,7.20E-20,0,8.00E-20
12,1.92E-18,109272.788,15.2,11.3,13.2,,8.1,0,,15,7.45,,8.5,1.52E-19,1.13E-19,1.32E-19,0,8.10E-20,0,0,1.50E-19,7.45E-20,0,8.50E-20
15,2.40E-18,136590.9849,14.1,11.9,14.5,,7.1,0,,12.6,7.8,,8.8,1.41E-19,1.19E-19,1.45E-19,0,7.10E-20,0,0,1.26E-19,7.80E-20,0,8.80E-20
17,2.72E-18,154803.1163,13.1,12.2,14.9,,6.6,0,,11.3,7.7,,8.7,1.31E-19,1.22E-19,1.49E-19,0,6.60E-20,0,0,1.13E-19,7.70E-20,0,8.70E-20
20,3.20E-18,182121.3133,11.5,12.6,15.6,,5.9,0,,9.7,7.6,,8.6,1.15E-19,1.26E-19,1.56E-19,0,5.90E-20,0,0,9.70E-20,7.60E-20,0,8.60E-20
25,4.00E-18,227651.6416,9,12.2,16,,5.1,0,,8.3,7.2,,8.2,9.00E-20,1.22E-19,1.60E-19,0,5.10E-20,0,0,8.30E-20,7.20E-20,0,8.20E-20
30,4.80E-18,273181.9699,7.2,11.6,15.9,,4.55,0,,7.2,6.6,,8,7.20E-20,1.16E-19,1.59E-19,0,4.55E-20,0,0,7.20E-20,6.60E-20,0,8.00E-20
50,8.00E-18,455303.2831,4.8,9.8,12.9,,3.4,0,,5.3,6.3,,7.7,4.80E-20,9.80E-20,1.29E-19,0,3.40E-20,0,0,5.30E-20,6.30E-20,0,7.70E-20
75,1.20E-17,682954.9247,3.5,8.4,9.5,,2.3,0,,4.6,6.1,,6.8,3.50E-20,8.40E-20,9.50E-20,0,2.30E-20,0,0,4.60E-20,6.10E-20,0,6.80E-20
100,1.60E-17,910606.5663,2.8,7.4,8,,1.8,0,,3.7,6,,6.5,2.80E-20,7.40E-20,8.00E-20,0,1.80E-20,0,0,3.70E-20,6.00E-20,0,6.50E-20
